"assembly","province","constituency_code","total_male_reg","total_female_reg","total_voter_reg"
"Provincial Assembly","KPK","PK-5",8563,6375,14938
"Provincial Assembly","KPK","PK-50",40342,29656,69998
"Provincial Assembly","KPK","PK-51",86284,61018,147302
"Provincial Assembly","KPK","PK-52",82825,62463,145288
"Provincial Assembly","KPK","PK-53",57112,35628,92740
"Provincial Assembly","KPK","PK-57",100518,76448,176966
"Provincial Assembly","KPK","PK-58",82560,54869,137429
"Provincial Assembly","KPK","PK-6",3184,1531,4715
"Provincial Assembly","KPK","PK-60",74609,42800,117409
"Provincial Assembly","KPK","PK-61",33619,23259,56878
"Provincial Assembly","KPK","PK-62",42229,35603,77832
"Provincial Assembly","KPK","PK-64",30297,23573,53870
"Provincial Assembly","KPK","PK-66",71845,52078,123923
"Provincial Assembly","KPK","PK-67",69856,45866,115722
"Provincial Assembly","KPK","PK-68",72408,51318,123726
"Provincial Assembly","KPK","PK-69",77066,58379,135445
"Provincial Assembly","KPK","PK-7",87722,65282,153004
"Provincial Assembly","KPK","PK-70",59348,37748,97096
"Provincial Assembly","KPK","PK-71",79276,53150,132426
"Provincial Assembly","KPK","PK-72",60143,42374,102517
"Provincial Assembly","KPK","PK-73",42576,33986,76562
"Provincial Assembly","KPK","PK-75",75074,59071,134145
"Provincial Assembly","KPK","PK-76",35051,32529,67580
"Provincial Assembly","KPK","PK-77",78055,60776,138831
"Provincial Assembly","KPK","PK-79",68540,44846,113386
"Provincial Assembly","KPK","PK-84",11507,8164,19671
"Provincial Assembly","KPK","PK-85",108103,87815,195918
"Provincial Assembly","KPK","PK-87",77457,58538,135995
"Provincial Assembly","KPK","PK-89",74502,55343,129845
"Provincial Assembly","KPK","PK-91",82297,66706,149003
"Provincial Assembly","KPK","PK-92",81978,65807,147785
"Provincial Assembly","KPK","PK-95",90464,72732,163196
"Provincial Assembly","KPK","PK-96",65581,50690,116271
"Provincial Assembly","KPK","PK-97",81655,66082,147737
"Provincial Assembly","Punjab","PP-1",95856,81663,177519
"Provincial Assembly","Punjab","PP-11",85879,77976,163855
"Provincial Assembly","Punjab","PP-16",125162,113275,238437
"Provincial Assembly","Punjab","PP-18",106785,87982,194767
"Provincial Assembly","Punjab","PP-19",102627,89755,192382
"Provincial Assembly","Punjab","PP-2",125061,107775,232836
"Provincial Assembly","Punjab","PP-21",134908,129537,264445
"Provincial Assembly","Punjab","PP-22",146453,140113,286566
"Provincial Assembly","Punjab","PP-23",137592,129615,267207
"Provincial Assembly","Punjab","PP-24",149456,135860,285316
"Provincial Assembly","Punjab","PP-25",169816,156184,326000
"Provincial Assembly","Punjab","PP-26",159635,148187,307822
"Provincial Assembly","Punjab","PP-27",165450,146236,311686
"Provincial Assembly","Punjab","PP-28",139881,112360,252241
"Provincial Assembly","Punjab","PP-3",119078,104020,223098
"Provincial Assembly","Punjab","PP-30",163731,130026,293757
"Provincial Assembly","Punjab","PP-32",46135,37663,83798
"Provincial Assembly","Punjab","PP-33",121710,104562,226272
"Provincial Assembly","Punjab","PP-34",12079,16098,28177
"Provincial Assembly","Punjab","PP-37",123099,103768,226867
"Provincial Assembly","Punjab","PP-38",118191,90268,208459
"Provincial Assembly","Punjab","PP-39",125915,96171,222086
"Provincial Assembly","Punjab","PP-4",125793,113874,239667
"Provincial Assembly","Punjab","PP-40",122702,96593,219295
"Provincial Assembly","Punjab","PP-41",120225,91056,211281
"Provincial Assembly","Punjab","PP-44",104628,81530,186158
"Provincial Assembly","Punjab","PP-45",105216,83562,188778
"Provincial Assembly","Punjab","PP-46",112577,82146,194723
"Provincial Assembly","Punjab","PP-47",117453,87262,204715
"Provincial Assembly","Punjab","PP-48",121979,90558,212537
"Provincial Assembly","Punjab","PP-49",108713,81800,190513
"Provincial Assembly","Punjab","PP-5",127685,113265,240950
"Provincial Assembly","Punjab","PP-51",129922,104589,234511
"Provincial Assembly","Sindh","PS-13",868,0,868
"Provincial Assembly","Sindh","PS-16",87836,67941,155777
"Provincial Assembly","Sindh","PS-18",100661,71819,172480
"Provincial Assembly","Sindh","PS-19",104370,83422,187792
"Provincial Assembly","Sindh","PS-20",92945,69796,162741
"Provincial Assembly","Sindh","PS-21",98207,74854,173061
"Provincial Assembly","Sindh","PS-22",58363,46275,104638
"Provincial Assembly","Sindh","PS-23",81059,66411,147470
"Provincial Assembly","Sindh","PS-24",95878,81044,176922
"Provincial Assembly","Sindh","PS-25",102081,87038,189119
"Provincial Assembly","Sindh","PS-27",84021,69217,153238
"Provincial Assembly","Sindh","PS-28",81425,65367,146792
"Provincial Assembly","Sindh","PS-29",81193,63970,145163
"Provincial Assembly","Sindh","PS-30",86255,68456,154711
"Provincial Assembly","Sindh","PS-31",83337,70101,153438
"Provincial Assembly","Sindh","PS-32",0,861,861
"Provincial Assembly","Sindh","PS-36",103035,83402,186437
"Provincial Assembly","Sindh","PS-39",91205,81480,172685
"Provincial Assembly","Sindh","PS-4",1817,455,2272
"Provincial Assembly","Sindh","PS-40",6510,4440,10950
"Provincial Assembly","Sindh","PS-41",80028,62779,142807
"Provincial Assembly","Sindh","PS-42",29486,19905,49391
"Provincial Assembly","Sindh","PS-43",7504,7297,14801
"Provincial Assembly","Sindh","PS-44",44796,37945,82741
"Provincial Assembly","Sindh","PS-45",48629,41433,90062
"Provincial Assembly","Sindh","PS-46",8091,8748,16839
"Provincial Assembly","Sindh","PS-47",109395,89473,198868
"Provincial Assembly","Sindh","PS-48",83964,67772,151736
"Provincial Assembly","Sindh","PS-5",86640,68361,155001
"Provincial Assembly","Sindh","PS-50",92239,74916,167155
"Provincial Assembly","Sindh","PS-51",90997,79322,170319
"Provincial Assembly","Sindh","PS-52",75440,62563,138003
"Provincial Assembly","Sindh","PS-53",82030,71515,153545
"Provincial Assembly","Sindh","PS-54",42429,33029,75458
"Provincial Assembly","Sindh","PS-55",65124,49496,114620
"Provincial Assembly","Sindh","PS-56",4357,3590,7947
"Provincial Assembly","Sindh","PS-57",1126,0,1126
"Provincial Assembly","Sindh","PS-58",95102,83946,179048
"Provincial Assembly","Sindh","PS-59",87792,76066,163858
"Provincial Assembly","Sindh","PS-63",36605,32065,68670
"Provincial Assembly","Sindh","PS-68",80240,66951,147191
"Provincial Assembly","Sindh","PS-69",70183,56571,126754
"Provincial Assembly","Sindh","PS-7",75368,63515,138883
"Provincial Assembly","Sindh","PS-70",77497,64184,141681
"Provincial Assembly","Sindh","PS-75",89491,77362,166853
"Provincial Assembly","Sindh","PS-76",56331,46839,103170
"Provincial Assembly","Sindh","PS-8",97555,84700,182255
"Provincial Assembly","Sindh","PS-81",77146,57873,135019
"Provincial Assembly","Sindh","PS-82",76470,64319,140789
"Provincial Assembly","Sindh","PS-89",114136,79580,193716
"Provincial Assembly","Sindh","PS-9",107699,89129,196828
"Provincial Assembly","Sindh","PS-90",71158,47338,118496
"Provincial Assembly","Sindh","PS-93",16907,15425,32332
"Provincial Assembly","Sindh","PS-96",105992,76247,182239
"Provincial Assembly","Sindh","PS-99",38812,18732,57544
